original_file,category,bytes,sha256,is_duplicate,duplicate_of,canonical_name
"Frame_40.svg","raw_fragment","215","9e5e057fbee05532c2ef924acd546362c23482dcf75daa0060d0efd2cd6194ac","true","Frame_32.svg","raw_fragment__frame_40.svg"
"Frame_41.svg","raw_fragment","493","c2b8ddfb7bb4f15b034c134f1f9e7ca1ed99ab1a717a965dfadb65436c35d05c","false","Frame_41.svg","raw_fragment__frame_41.svg"
"Frame_42.svg","raw_fragment","215","c8deb06de281376441d44b23f0cd122c92f47f65e6346ed8bb6c26213ad17cdd","true","Frame_16.svg","raw_fragment__frame_42.svg"
"Frame_43.svg","raw_fragment","236","2464cf7a469b6ba9211fa1954ef2eea67557bd7133ee6c97e14440e606fbc19f","false","Frame_43.svg","raw_fragment__frame_43.svg"
"Frame_44.svg","raw_fragment","1425","06c0166d254628dcee56f488a8c582d0cc6bcc98c747f1cb63c34995573b05bb","false","Frame_44.svg","raw_fragment__frame_44.svg"
"Frame_45.svg","raw_fragment","236","2464cf7a469b6ba9211fa1954ef2eea67557bd7133ee6c97e14440e606fbc19f","true","Frame_43.svg","raw_fragment__frame_45.svg"
"Frame_46.svg","raw_fragment","211","13205113ddbf3be86d59c08431c49a62491e9cbf59fb3a24494dd86762468518","true","Frame_10.svg","raw_fragment__frame_46.svg"
"Frame_47.svg","raw_fragment","328","c41678ee0d5ab400696decf69588dc11a0f1812f820ad55d1afdeae3a7d99a8e","false","Frame_47.svg","raw_fragment__frame_47.svg"
"Frame_48.svg","raw_fragment","1425","06c0166d254628dcee56f488a8c582d0cc6bcc98c747f1cb63c34995573b05bb","true","Frame_44.svg","raw_fragment__frame_48.svg"
"Frame_49.svg","raw_fragment","979","693a32c13611a99c6292e347bb8678c440c2d4eefc1cc06718a9b99f576fa155","false","Frame_49.svg","raw_fragment__frame_49.svg"
"Frame_5.svg","raw_fragment","2534","d11de3f4877b922eb7890f4419110521e04b83a65ce1b2c25394094d9e2657dc","true","Frame_19.svg","raw_fragment__frame_5.svg"
"Frame_50.svg","raw_fragment","211","13205113ddbf3be86d59c08431c49a62491e9cbf59fb3a24494dd86762468518","true","Frame_10.svg","raw_fragment__frame_50.svg"
"Frame_51.svg","raw_fragment","896","675acf55839d2ac01a7ae8184384f462025602a86c8df22da9d2c6eaaeb6e83a","false","Frame_51.svg","raw_fragment__frame_51.svg"
"Frame_52.svg","raw_fragment","549","1b9fb2552d1ad646ba838bcbb20e2b571c098801c311fe232996e1a7675461db","false","Frame_52.svg","raw_fragment__frame_52.svg"
"Frame_53.svg","raw_fragment","211","13205113ddbf3be86d59c08431c49a62491e9cbf59fb3a24494dd86762468518","true","Frame_10.svg","raw_fragment__frame_53.svg"
